Tag NodeId,Tag Name,Tag Value,Timestamp
ns=2;s=Channel2.RX3i.A1,A1,2147533624,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A10,A10,2147647488,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A100,A100,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A1000,A1000,2147533627,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A101,A101,3275784192,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A102,A102,2147533632,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A103,A103,32768,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A104,A104,2147745792,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A105,A105,2256044036,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A106,A106,2256176762,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A107,A107,2147518074,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A108,A108,2147647488,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A109,A109,2147516418,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A11,A11,2147516418,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A110,A110,3275849728,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A111,A111,2147795778,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A112,A112,2147516420,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A113,A113,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A114,A114,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A115,A115,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A116,A116,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A117,A117,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A118,A118,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A119,A119,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A12,A12,3276177408,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A120,A120,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A121,A121,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A122,A122,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A123,A123,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A124,A124,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A125,A125,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A126,A126,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A127,A127,2147516416,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A128,A128,3276374016,2025-02-12 12:33:19
ns=2;s=Channel2.RX3i.A129,A129,2147533642,2025-02-12 12:33:19
