Group,Tag1 NodeId,Tag1 Name,Tag1 Value,Tag2 NodeId,Tag2 Name,Tag2 Value,Timestamp,Scan Rate (s),CPU (%),Memory (%)
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:44.1,0,0,92.6
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:44.1,0,0,92.6
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:44.1,0,0,92.6
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:44.1,0,37.5,92.7
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:44.1,0,0,92.7
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:44.076,0,0,92.7
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:44.1,0,0,92.7
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:44.1,0,0,92.7
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:44.1,0,0,92.7
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:44.1,0,25,92.7
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:44.1,0,0,92.7
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:44.1,0,0,92.7
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:44.1,0,0,92.7
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:44.1,0,0,92.7
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:44.1,0,0,92.7
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:44.1,0,0,92.7
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:44.1,0,0,92.7
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:44.1,0,0,92.7
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:44.1,0,0,92.7
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:44.1,0,0,92.7
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:44.1,0,0,92.7
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:44.1,0,0,92.7
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:44.1,0,0,92.7
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:44.1,0,0,92.7
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:44.1,0,0,92.7
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:46.0,0,0,93.3
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:46.0,0,0,93.3
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:46.0,0,0,93.3
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:46.0,0,0,93.3
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:46.0,0,60,93.3
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:45.987,0,0,93.3
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:46.0,0,0,93.3
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:46.0,0,0,93.3
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:46.0,0,0,93.3
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:46.0,0,0,93.3
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:46.0,0,0,93.3
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:46.0,0,0,93.3
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:46.0,0,0,93.3
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:46.0,0,0,93.3
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:46.0,0,0,93.3
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:46.0,0,0,93.3
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:46.0,0,0,93.3
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:46.0,0,0,93.3
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:46.0,0,0,93.3
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:46.0,0,0,93.3
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:46.0,0,0,93.3
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:46.0,0,0,93.3
